"Route","PagePath","PageDesign","Partial","Rendering","ComponentMap","DatasourceOrContext","ItemPath","Fields","Notes"
"/people/dawn-allen","/sitecore/content/legal/legal/Home/people/dawn-allen","Person","Person","PersonRelated","PersonRelated","context treelist","/sitecore/content/legal/legal/Home/people/dawn-allen","RelatedPeople","Désirée Fields; Dinesh Banani; David Barker; David Doogan"
"/people/dawn-allen","/sitecore/content/legal/legal/Home/people/dawn-allen","Person","Person","Promo Newsletter","Promo","datasource","/sitecore/content/legal/legal/Data/Promos/Newsletter","PromoTitle; PromoSubTitle; PromoDescription; PromoImageOne; PromoMoreInfo","Same Newsletter item as Home"
"/people/bill-ryan","/sitecore/content/legal/legal/Home/people/bill-ryan","Person","Person","PersonProfile","PersonProfile","context item","/sitecore/content/legal/legal/Home/people/bill-ryan","Title; JobTitle; Phone; Email; Office; Biography; Photo","Office = Melbourne; Photo = DAM bill-ryan.png"
"/people/hammad-akhtar","/sitecore/content/legal/legal/Home/people/hammad-akhtar","Person","Person","PersonProfile","PersonProfile","context item","/sitecore/content/legal/legal/Home/people/hammad-akhtar","Title; JobTitle; Phone; Email; Office; Biography; Photo; Specialisms; InsightItems; RelatedPeople","Photo = DAM hammad-akhtar.png; Specialisms = Tag treelist"
"/people/sally-williamson","/sitecore/content/legal/legal/Home/people/sally-williamson","Person","Person","PersonProfile","PersonProfile","context item","/sitecore/content/legal/legal/Home/people/sally-williamson","Title; JobTitle; Phone; Email; Office; Biography; Photo; Specialisms; InsightItems; RelatedPeople","Photo = DAM sally-williamson.png; CIGA first insight"
"/out-law/guides/when-uk-suppliers-must-continue-to-supply-insolvent-companies","/sitecore/content/legal/legal/Home/out-law/guides/when-uk-suppliers-must-continue-to-supply-insolvent-companies","Default","","NewsArticle","NewsArticle","context item","/sitecore/content/legal/legal/Home/out-law/guides/when-uk-suppliers-must-continue-to-supply-insolvent-companies","Title; Content; Kicker; PublishedDate; ReadTime; Tags; Categories; Authors","Nested placeholder article-sidebar-1"
"/out-law/guides/when-uk-suppliers-must-continue-to-supply-insolvent-companies","/sitecore/content/legal/legal/Home/out-law/guides/when-uk-suppliers-must-continue-to-supply-insolvent-companies","Default","","LatestNews","LatestNews","datasource","/sitecore/content/legal/legal/Data/ArticleSidebar/Latest News","Heading; Items","Placeholder article-sidebar-1; add/remove in Pages"
"/out-law/guides/when-uk-suppliers-must-continue-to-supply-insolvent-companies","/sitecore/content/legal/legal/Home/out-law/guides/when-uk-suppliers-must-continue-to-supply-insolvent-companies","Default","","Promo SidebarSignup","Promo","datasource","/sitecore/content/legal/legal/Data/Promos/Article Signup","PromoTitle; PromoDescription; PromoMoreInfo","Placeholder article-sidebar-1; add/remove in Pages"
"/people/desiree-fields","/sitecore/content/legal/legal/Home/people/desiree-fields","Person","Person","PersonProfile","PersonProfile","context item","/sitecore/content/legal/legal/Home/people/desiree-fields","Title; JobTitle; Phone; Email; Office; Biography; Photo","Also-viewed from Dawn/Bill live pages"
"/people/dinesh-banani","/sitecore/content/legal/legal/Home/people/dinesh-banani","Person","Person","PersonProfile","PersonProfile","context item","/sitecore/content/legal/legal/Home/people/dinesh-banani","Title; JobTitle; Phone; Email; Office; Biography; Photo","Head of US Securities"
"/people/david-barker","/sitecore/content/legal/legal/Home/people/david-barker","Person","Person","PersonProfile","PersonProfile","context item","/sitecore/content/legal/legal/Home/people/david-barker","Title; JobTitle; Phone; Email; Office; Biography; Photo","Global Sector Head TSI"
"/people/david-doogan","/sitecore/content/legal/legal/Home/people/david-doogan","Person","Person","PersonProfile","PersonProfile","context item","/sitecore/content/legal/legal/Home/people/david-doogan","Title; JobTitle; Phone; Email; Office; Biography; Photo","Finance / lending"
"/people/barry-mccaig","/sitecore/content/legal/legal/Home/people/barry-mccaig","Person","Person","PersonProfile","PersonProfile","context item","/sitecore/content/legal/legal/Home/people/barry-mccaig","Title; JobTitle; Phone; Email; Office; Biography; Photo","Photo = DAM barry-mccaig.png"
"/people/bryn-reynolds","/sitecore/content/legal/legal/Home/people/bryn-reynolds","Person","Person","PersonProfile","PersonProfile","context item","/sitecore/content/legal/legal/Home/people/bryn-reynolds","Title; JobTitle; Phone; Email; Office; Biography; Photo","Photo = DAM bryn-reynolds.png"
"/people/ben-mckinley","/sitecore/content/legal/legal/Home/people/ben-mckinley","Person","Person","PersonProfile","PersonProfile","context item","/sitecore/content/legal/legal/Home/people/ben-mckinley","Title; JobTitle; Phone; Email; Office; Biography; Photo","Photo = DAM ben-mckinley.png"
"/out-law","/sitecore/content/legal/legal/Home/out-law","Default","","Promo","Promo","datasource","/sitecore/content/legal/legal/Data/Promos/Out-Law","PromoTitle; PromoDescription; PromoImageOne","Thinking band"
"/expertise","/sitecore/content/legal/legal/Home/expertise","Default","","Promo","Promo","datasource","/sitecore/content/legal/legal/Data/Promos/Expertise","PromoTitle; PromoImageOne","Shared promo"
"/sectors","/sitecore/content/legal/legal/Home/sectors","Default","","HomeExpertise","HomeExpertise (client)","datasource","/sitecore/content/legal/legal/Data/HomeSections/Expertise","Eyebrow; Sectors; Services; Locations","Same Expertise panel as Home"
"/sectors/professional-public-services","/sitecore/content/legal/legal/Home/sectors/professional-public-services","Default","","PracticePage","PracticePage (client)","datasource","/sitecore/content/legal/legal/Data/SectorPages/professional-public-services","Title; Intro; HeroImage; Jumps; Highlights; Thinking; Work; People; ContactName","SectorPanel; Simon Colvin is contact text only"
"/sectors/professional-public-services","/sitecore/content/legal/legal/Home/sectors/professional-public-services","Default","","Promo Newsletter","Promo","datasource","/sitecore/content/legal/legal/Data/Promos/Newsletter","PromoTitle; PromoSubTitle; PromoDescription; PromoImageOne; PromoMoreInfo","Same Newsletter item as Home"
"/sectors/professional-public-services","/sitecore/content/legal/legal/Home/sectors/professional-public-services","Default","","PressReleases","PressReleases","datasource","/sitecore/content/legal/legal/Data/HomeSections/Press","Eyebrow; Heading; MoreLink; Items","Same press panel as Home"
"/about-us/announcements","/sitecore/content/legal/legal/Home/about-us/announcements","Default","","AnnouncementSearch","AnnouncementSearch (client)","page + catalog","/sitecore/content/legal/legal/Home/about-us/announcements","Title","Fallback announcements-catalog.ts"
