"Route","PagePath","PageDesign","Partial","Rendering","ComponentMap","DatasourceOrContext","ItemPath","Fields","Notes"
"/get-help/help-with-energy-bills","/sitecore/content/nonprofit/nonprofit/Home/get-help/help-with-energy-bills","Default","","AdviceArticle","AdviceArticle","context item","/sitecore/content/nonprofit/nonprofit/Home/get-help/help-with-energy-bills","Title; Content; Summary; Image; Authors","Image = promo-1.jpg. Author Jordan Hale"
"/get-help/what-to-do-if-you-cannot-pay-your-rent","/sitecore/content/nonprofit/nonprofit/Home/get-help/what-to-do-if-you-cannot-pay-your-rent","Default","","AdviceArticle","AdviceArticle","context item","/sitecore/content/nonprofit/nonprofit/Home/get-help/what-to-do-if-you-cannot-pay-your-rent","Title; Content; Summary; Image; Authors","Image = promo-2.jpg. Author Eleri Morgan"
"/get-help/a-z","/sitecore/content/nonprofit/nonprofit/Home/get-help/a-z","Default","","AdviceIndex","AdviceIndex","catalog","src/lib/openhand-catalog.ts AZ_INDEX","","Slim index — remaining advice only"
"/get-help/near-you","/sitecore/content/nonprofit/nonprofit/Home/get-help/near-you","Default","","PartnerFinder","PartnerFinder","catalog","src/lib/openhand-catalog.ts PARTNERS","image","Partner cards use catalog photos"
"/partners/northgate-community-hub","/sitecore/content/nonprofit/nonprofit/Home/partners/northgate-community-hub","Default","","PartnerPage","PartnerPage","catalog","src/lib/openhand-catalog.ts","image","partner-1.jpg"
"/partners/st-marks-crisis-centre","/sitecore/content/nonprofit/nonprofit/Home/partners/st-marks-crisis-centre","Default","","PartnerPage","PartnerPage","catalog","src/lib/openhand-catalog.ts","image","partner-2.jpg"
"/partners/riverside-advice-service","/sitecore/content/nonprofit/nonprofit/Home/partners/riverside-advice-service","Default","","PartnerPage","PartnerPage","catalog","src/lib/openhand-catalog.ts","image","partner-3.jpg"
"/news","/sitecore/content/nonprofit/nonprofit/Home/news","Default","","NewsList","NewsList","children resolver","/sitecore/content/nonprofit/nonprofit/Home/news","Title; Content; child Image","One remaining news article"
"/news/winter-match-extended","/sitecore/content/nonprofit/nonprofit/Home/news/winter-match-extended","Default","","AdviceArticle","AdviceArticle","context item","/sitecore/content/nonprofit/nonprofit/Home/news/winter-match-extended","Title; Content; Summary; Image; Authors","Image = appeal-winter.jpg. Author Jordan Hale"
"/events","/sitecore/content/nonprofit/nonprofit/Home/events","Default","","EventListing","EventListing","children resolver","/sitecore/content/nonprofit/nonprofit/Home/events","Title; Content; child Image","Cards use EventPage Image"
"/events/leeds-winter-walk","/sitecore/content/nonprofit/nonprofit/Home/events/leeds-winter-walk","Default","","EventDetail","EventDetail","context item","/sitecore/content/nonprofit/nonprofit/Home/events/leeds-winter-walk","Title; Content; Image; Kicker; DateLabel; TimeLabel; Location; Price; Audience; Speakers; Agenda","Image = appeal-winter.jpg. Speaker Jordan Hale"
"/events/adviser-training-day","/sitecore/content/nonprofit/nonprofit/Home/events/adviser-training-day","Default","","EventDetail","EventDetail","context item","/sitecore/content/nonprofit/nonprofit/Home/events/adviser-training-day","Title; Content; Image; Speakers; Agenda","Image = promo-1.jpg. Speakers Eleri + Jordan"
"/events/pantry-open-saturday","/sitecore/content/nonprofit/nonprofit/Home/events/pantry-open-saturday","Default","","EventDetail","EventDetail","context item","/sitecore/content/nonprofit/nonprofit/Home/events/pantry-open-saturday","Title; Content; Image; Speakers; Agenda","Image = story-2.jpg. Speaker Sam Okoro"
"/stories","/sitecore/content/nonprofit/nonprofit/Home/stories","Default","","StoryList","StoryList","catalog","src/lib/openhand-catalog.ts STORIES","image","Maria + Jamal only"
"/stories/maria-winter-bills","/sitecore/content/nonprofit/nonprofit/Home/stories/maria-winter-bills","Default","","StoryDetail","StoryDetail","catalog","src/lib/openhand-catalog.ts","image","story-1.jpg"
"/stories/jamal-first-parcel","/sitecore/content/nonprofit/nonprofit/Home/stories/jamal-first-parcel","Default","","StoryDetail","StoryDetail","catalog","src/lib/openhand-catalog.ts","image","story-2.jpg"
"/appeals/winter","/sitecore/content/nonprofit/nonprofit/Home/appeals/winter","Default","","AppealPage","AppealPage","catalog","src/lib/openhand-catalog.ts APPEALS","image","appeal-winter.jpg"
"/appeals/emergency","/sitecore/content/nonprofit/nonprofit/Home/appeals/emergency","Default","","AppealPage","AppealPage","catalog","src/lib/openhand-catalog.ts APPEALS","image","hero-give.jpg"
"/donate","/sitecore/content/nonprofit/nonprofit/Home/donate","Default","","DonateSelector","DonateSelector","catalog","","",""
"/fundraise","/sitecore/content/nonprofit/nonprofit/Home/fundraise","Default","","FundraiseGrid","FundraiseGrid","catalog","EVENTS_CATALOG","image","Event card images from catalog"
